ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,FitValue
108,97,110,103,117,97,103,101,0,0,0,0,0.004354066985645933
99,111,100,101,0,0,0,0,0,0,0,0,0.003544506816359262
110,101,101,100,101,100,0,0,0,0,0,0,0.003424731182795699
108,97,110,103,117,97,103,101,0,0,0,0,0.003712908011869436
116,114,97,110,115,108,97,116,105,111,110,0,0.004405648267008986
109,97,120,105,109,117,109,0,0,0,0,0,0.0042673246084531215
112,101,111,112,108,101,0,0,0,0,0,0,0.004116094986807388
97,108,108,111,119,101,100,0,0,0,0,0,0.004061157024793389
115,116,97,121,0,0,0,0,0,0,0,0,0.003900600092321896
114,111,111,109,0,0,0,0,0,0,0,0,0.003762960829493088
112,97,103,101,0,0,0,0,0,0,0,0,0.0036577409270082913
110,101,101,100,101,100,0,0,0,0,0,0,0.0036210790464240904
108,97,110,103,117,97,103,101,0,0,0,0,0.0036906654553713375
116,114,97,110,115,108,97,116,105,111,110,0,0.003963018490754622
118,97,108,105,100,0,0,0,0,0,0,0,0.0038877812589005983
108,97,110,103,117,97,103,101,0,0,0,0,0.003922068783534172
99,111,100,101,0,0,0,0,0,0,0,0,0.00385144312393888
110,101,101,100,101,100,0,0,0,0,0,0,0.0038182845154522715
116,114,97,110,115,108,97,116,105,111,110,0,0.004007504414361389
114,101,113,117,101,115,116,0,0,0,0,0,0.003980791982740622
97,99,116,105,118,105,116,121,0,0,0,0,0.003990554899645809
112,117,114,99,104,97,115,101,0,0,0,0,0.004003725551071096
114,101,113,117,105,114,101,100,0,0,0,0,0.004014142604596347
105,110,118,101,110,116,111,114,105,101,115,0,0.0041411751760563375
117,110,115,117,99,99,101,115,115,102,117,108,0.004301985531783901
99,97,99,104,101,100,0,0,0,0,0,0,0.0042705689114528895
97,118,97,105,108,97,98,105,108,105,116,121,0.00441729851165403
102,111,117,110,100,0,0,0,0,0,0,0,0.00436775312699717
