ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,FitValue,Word,Category
108,97,110,103,117,97,103,101,0,0,0,0,0.004354066985645933,language,availability_error
99,111,100,101,0,0,0,0,0,0,0,0,0.003544506816359262,code,availability_error
110,101,101,100,101,100,0,0,0,0,0,0,0.003424731182795699,needed,availability_error
108,97,110,103,117,97,103,101,0,0,0,0,0.003712908011869436,language,availability_error
116,114,97,110,115,108,97,116,105,111,110,0,0.004405648267008986,translation,availability_error
109,97,120,105,109,117,109,0,0,0,0,0,0.0042673246084531215,maximum,availability_error
112,101,111,112,108,101,0,0,0,0,0,0,0.004116094986807388,people,availability_error
97,108,108,111,119,101,100,0,0,0,0,0,0.004061157024793389,allowed,availability_error
115,116,97,121,0,0,0,0,0,0,0,0,0.003900600092321896,stay,availability_error
114,111,111,109,0,0,0,0,0,0,0,0,0.003762960829493088,room,availability_error
112,97,103,101,0,0,0,0,0,0,0,0,0.0036577409270082913,page,availability_error
110,101,101,100,101,100,0,0,0,0,0,0,0.0036210790464240904,needed,availability_error
108,97,110,103,117,97,103,101,0,0,0,0,0.0036906654553713375,language,availability_error
116,114,97,110,115,108,97,116,105,111,110,0,0.003963018490754622,translation,availability_error
118,97,108,105,100,0,0,0,0,0,0,0,0.0038877812589005983,valid,availability_error
108,97,110,103,117,97,103,101,0,0,0,0,0.003922068783534172,language,availability_error
99,111,100,101,0,0,0,0,0,0,0,0,0.00385144312393888,code,availability_error
110,101,101,100,101,100,0,0,0,0,0,0,0.0038182845154522715,needed,availability_error
116,114,97,110,115,108,97,116,105,111,110,0,0.004007504414361389,translation,availability_error
114,101,113,117,101,115,116,0,0,0,0,0,0.003980791982740622,request,availability_error
97,99,116,105,118,105,116,121,0,0,0,0,0.003990554899645809,activity,availability_error
112,117,114,99,104,97,115,101,0,0,0,0,0.004003725551071096,purchase,availability_error
114,101,113,117,105,114,101,100,0,0,0,0,0.004014142604596347,required,availability_error
105,110,118,101,110,116,111,114,105,101,115,0,0.0041411751760563375,inventories,availability_error
