Label,ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,AggregateByteValue
1648,117,102,111,114,109,97,116,0,0,0,0,0,0.019447241024353766
1648,101,114,114,111,114,0,0,0,0,0,0,0,0.01944395702902527
1648,111,112,116,105,111,110,97,108,0,0,0,0,0.019439356329709837
1648,102,105,101,108,100,0,0,0,0,0,0,0,0.01943633136385795
1648,110,111,116,112,114,111,99,101,115,115,101,100,0.019430518624620002
1648,98,117,115,105,110,101,115,115,108,111,103,105,0.01942459891641317
1648,101,114,114,115,119,115,104,111,115,116,101,114,0.019419465254992226
1648,97,100,100,114,101,115,115,0,0,0,0,0,0.019415427400691045
1648,99,97,116,101,103,111,114,121,0,0,0,0,0.01941090104724709
1648,101,120,0,0,0,0,0,0,0,0,0,0,0.019409463418444173
1648,104,111,109,101,0,0,0,0,0,0,0,0,0.01940688250575512
1648,119,111,114,107,0,0,0,0,0,0,0,0,0.01940412804463244
1648,101,116,99,0,0,0,0,0,0,0,0,0,0.019402144530390405
1648,114,101,113,117,105,114,101,100,0,0,0,0,0.019397605590317373
1648,99,99,0,0,0,0,0,0,0,0,0,0,0.019396324163194943
1648,97,99,99,111,117,110,116,0,0,0,0,0,0.01939225105945918
1648,110,97,109,101,0,0,0,0,0,0,0,0,0.019389728893433145
1648,101,114,114,111,114,0,0,0,0,0,0,0,0.01938647024879413
1648,99,99,0,0,0,0,0,0,0,0,0,0,0.01938519043073561
1648,110,97,109,101,0,0,0,0,0,0,0,0,0.01938267029799756
1648,101,114,114,111,114,0,0,0,0,0,0,0,0.019379414316590567
1648,99,115,118,102,97,105,108,0,0,0,0,0,0.01937538305220133
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.01937181297938928
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01936934355793955
1648,101,114,114,111,114,0,0,0,0,0,0,0,0.019366092751209235
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.019362526678850567
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.019360059929987496
1648,116,121,112,101,0,0,0,0,0,0,0,0,0.01935732710698318
1648,105,110,118,97,108,105,100,0,0,0,0,0,0.019353313498063893
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.019349752968527294
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.019347289923771414
1648,116,121,112,101,0,0,0,0,0,0,0,0,0.019344561184628854
1648,97,99,99,101,112,116,101,100,0,0,0,0,0.01934032130056588
