LabelId,ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,AggregateByteValue
103,108,97,110,103,117,97,103,101,0,0,0,0,6646.153846153846,9008848524022272
103,99,111,100,101,0,0,0,0,0,0,0,0,3207.6923076923076,281475648847872
103,110,101,101,100,101,100,0,0,0,0,0,0,4830.7692307692305,3518438282625096
103,108,97,110,103,117,97,103,101,0,0,0,0,6646.153846153846,9008848524022272
103,116,114,97,110,115,108,97,116,105,111,110,0,9646.153846153846,2256197999699456
103,109,97,120,105,109,117,109,0,0,0,0,0,6053.846153846153,13809870876712960
103,112,101,111,112,108,101,0,0,0,0,0,0,5076.923076923077,2533276401008644
103,97,108,108,111,119,101,100,0,0,0,0,0,5884.615384615385,18069374090871552
103,115,116,97,121,0,0,0,0,0,0,0,0,3500,36037593120374848
103,114,111,111,109,0,0,0,0,0,0,0,0,3469.230769230769,9011599448735748
103,112,97,103,101,0,0,0,0,0,0,0,0,3223.076923076923,144396697412321280
103,110,101,101,100,101,100,0,0,0,0,0,0,4830.7692307692305,3518438282625096
103,108,97,110,103,117,97,103,101,0,0,0,0,6646.153846153846,9008848524022272
103,116,114,97,110,115,108,97,116,105,111,110,0,9646.153846153846,2256197999699456
103,118,97,108,105,100,0,0,0,0,0,0,0,4138.461538461538,9073118674944
103,108,97,110,103,117,97,103,101,0,0,0,0,6646.153846153846,9008848524022272
103,99,111,100,101,0,0,0,0,0,0,0,0,3207.6923076923076,281475648847872
103,110,101,101,100,101,100,0,0,0,0,0,0,4830.7692307692305,3518438282625096
103,116,114,97,110,115,108,97,116,105,111,110,0,9646.153846153846,2256197999699456
103,114,101,113,117,101,115,116,0,0,0,0,0,6138.461538461538,-4611650834051104754
103,97,99,116,105,118,105,116,121,0,0,0,0,6961.538461538461,6052979736185938434
103,112,117,114,99,104,97,115,101,0,0,0,0,6823.076923076923,576742502435921952
103,114,101,113,117,105,114,101,100,0,0,0,0,6869.230769230769,-4170333254945079028
103,105,110,118,101,110,116,111,114,105,101,115,0,9700,19149094786601474
