ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,AggregateByteValue,Label
114,100,0,0,0,0,0,0,0,0,0,0,1.2860280373831778,13184
112,97,114,116,121,0,0,0,0,0,0,0,0.35724806201550385,13184
101,114,114,111,114,0,0,0,0,0,0,0,0.20919427710843375,13184
115,101,114,118,101,114,0,0,0,0,0,0,0.14051230537418383,13184
114,101,115,112,111,110,100,101,100,0,0,0,0.09625719120135363,13184
101,114,114,111,114,0,0,0,0,0,0,0,0.08143060701054432,13184
109,101,115,115,97,103,101,0,0,0,0,0,0.06787529411764706,13184
97,117,116,104,101,110,116,105,99,97,116,105,0.052189781021897814,13184
114,101,99,111,118,101,114,97,98,108,101,0,0.04445488721804511,13184
116,114,97,118,101,108,110,111,119,99,111,109,0.0384044233807267,13184
115,101,114,118,105,99,101,0,0,0,0,0,0.03548875528835448,13184
114,101,113,117,101,115,116,0,0,0,0,0,0.03294292447996721,13184
97,117,116,104,101,110,116,105,99,97,116,105,0.029594246648317498,13184
102,97,105,108,117,114,101,0,0,0,0,0,0.027987840426417925,13184
99,105,100,0,0,0,0,0,0,0,0,0,0.027328405491024287,13184
105,112,97,100,100,114,101,115,115,0,0,0,0.025706103993971365,13184
97,99,99,101,115,115,0,0,0,0,0,0,0.02468839953943581,13184
100,101,110,105,101,100,0,0,0,0,0,0,0.023773168883070354,13184
98,117,110,100,108,101,0,0,0,0,0,0,0.022906846240179576,13184
102,111,117,110,100,0,0,0,0,0,0,0,0.0222011856951616,13184
99,111,110,110,101,99,116,0,0,0,0,0,0.021359459623927463,13184
109,116,115,0,0,0,0,0,0,0,0,0,0.020949740654623503,13184
100,114,105,118,101,114,0,0,0,0,0,0,0.020277761836441897,13184
99,111,110,110,101,99,116,105,118,105,116,121,0.01931682322801025,13184
99,111,109,109,117,110,105,99,97,116,105,111,0.018479189430813548,13184
112,114,111,98,108,101,109,0,0,0,0,0,0.017943697036434145,13184
116,114,121,0,0,0,0,0,0,0,0,0,0.017665505226480836,13184
114,101,113,117,101,115,116,0,0,0,0,0,0.017166023166023166,13184
99,111,110,116,97,99,116,0,0,0,0,0,0.01672187321530554,13184
117,115,0,0,0,0,0,0,0,0,0,0,0.0165588171341596,13184
100,105,114,101,99,116,0,0,0,0,0,0,0.016196360558611934,13184
99,111,110,110,101,99,116,0,0,0,0,0,0.015812684607810962,13184
101,114,114,111,114,0,0,0,0,0,0,0,0.015513437625350983,13184
114,99,102,0,0,0,0,0,0,0,0,0,0.015335313923549218,13184
101,116,0,0,0,0,0,0,0,0,0,0,0.015209724295027887,13184
110,111,116,112,114,111,99,101,115,115,101,100,0.014788732394366198,13184
98,117,115,105,110,101,115,115,108,111,103,105,0.014412652206326104,13184
101,114,114,115,119,115,104,111,115,116,101,114,0.014381888109628002,13184
101,120,99,101,112,116,105,111,110,0,0,0,0.014089171575385388,13184
101,120,99,101,112,116,105,111,110,0,0,0,0.013813809248730656,13184
106,97,118,97,0,0,0,0,0,0,0,0,0.01366387462847879,13184
108,97,110,103,0,0,0,0,0,0,0,0,0.013517656477006553,13184
99,108,97,115,115,0,0,0,0,0,0,0,0.01334491112343481,13184
100,101,102,0,0,0,0,0,0,0,0,0,0.013239208424950816,13184
102,111,117,110,100,0,0,0,0,0,0,0,0.013072584320875115,13184
101,114,114,111,114,0,0,0,0,0,0,0,0.012905939761063436,13184
105,110,105,116,105,97,108,105,122,101,0,0,0.012687847108787977,13184
99,108,97,115,115,0,0,0,0,0,0,0,0.012540922020071916,13184
99,111,109,0,0,0,0,0,0,0,0,0,0.012444858321138752,13184
104,111,116,101,108,115,0,0,0,0,0,0,0.012282688284518829,13184
102,114,97,109,101,119,111,114,107,0,0,0,0.01209695516907227,13184
115,101,114,118,105,99,101,0,0,0,0,0,0.011937348312357696,13184
115,101,114,118,105,99,101,0,0,0,0,0,0.011783644400785855,13184
108,111,99,97,116,111,114,0,0,0,0,0,0.011634680297039252,13184
102,97,105,108,101,100,0,0,0,0,0,0,0.011511558839601796,13184
108,97,112,115,97,110,103,0,0,0,0,0,0.011375872615628868,13184
115,101,114,118,105,99,101,0,0,0,0,0,0.01124196953010279,13184
105,110,118,111,99,97,116,105,111,110,0,0,0.011100613441991671,13184
114,101,113,117,101,115,116,117,114,108,0,0,0.010957800008737058,13184
104,116,116,112,109,101,109,98,101,114,119,115,0.012908089527752823,13184
110,114,101,113,117,101,115,116,109,101,116,104,0.01275839180732031,13184
103,101,116,0,0,0,0,0,0,0,0,0,0.012688784165881244,13184
115,101,114,118,101,114,101,114,114,111,114,0,0.012535979508725377,13184
102,97,105,108,101,100,0,0,0,0,0,0,0.012431486880466473,13184
108,97,112,115,97,110,103,0,0,0,0,0,0.01231473158102909,13184
115,101,114,118,105,99,101,0,0,0,0,0,0.012198669623059868,13184
105,110,118,111,99,97,116,105,111,110,0,0,0.012070765964112294,13184
114,101,113,117,101,115,116,117,114,108,0,0,0.011940655250712785,13184
104,116,116,112,109,101,109,98,101,114,119,115,0.01341787382995015,13184
110,114,101,113,117,101,115,116,109,101,116,104,0.013285511515392012,13184
103,101,116,0,0,0,0,0,0,0,0,0,0.013226864719551647,13184
104,114,110,113,117,111,116,101,107,101,121,102,0.013138053097345132,13184
105,110,116,101,114,110,97,108,0,0,0,0,0.013026317705830093,13184
101,114,114,111,114,0,0,0,0,0,0,0,0.012940836523874883,13184
117,110,97,98,108,101,0,0,0,0,0,0,0.01285184548864645,13184
109,101,114,103,101,0,0,0,0,0,0,0,0.01277389376758462,13184
97,114,114,97,121,0,0,0,0,0,0,0,0.012694417417544453,13184
120,109,108,0,0,0,0,0,0,0,0,0,0.012639851797793807,13184
116,101,109,112,108,97,116,101,0,0,0,0,0.01253959009346313,13184
101,114,114,111,114,0,0,0,0,0,0,0,0.012461881433368195,13184
116,104,114,111,119,110,0,0,0,0,0,0,0.012373946715388183,13184
105,110,116,101,114,110,97,108,0,0,0,0,0.012279422664851826,13184
97,112,112,108,105,99,97,116,105,111,110,0,0.012183349917081261,13184
101,114,114,111,114,0,0,0,0,0,0,0,0.012111577921479277,13184
105,110,116,101,114,110,97,108,0,0,0,0,0.012023180101575727,13184
115,101,114,118,101,114,0,0,0,0,0,0,0.011945437878455322,13184
101,114,114,111,114,0,0,0,0,0,0,0,0.011877267424718294,13184
115,101,114,118,101,114,101,114,114,111,114,0,0.01178506513177825,13184
105,110,116,101,114,110,97,108,0,0,0,0,0.01170381469688456,13184
115,101,114,118,101,114,0,0,0,0,0,0,0.011631867043146579,13184
101,114,114,111,114,0,0,0,0,0,0,0,0.011568596098496963,13184
114,101,115,112,111,110,115,101,0,0,0,0,0.01148915199376985,13184
112,114,111,99,101,115,115,102,97,105,108,0,0.01141242802303263,13184
112,108,101,97,115,101,0,0,0,0,0,0,0.011349501154844394,13184
101,110,116,101,114,0,0,0,0,0,0,0,0.01129211223620706,13184
99,111,114,114,101,99,116,0,0,0,0,0,0.011224293586586939,13184
97,99,99,101,115,115,0,0,0,0,0,0,0.011165207877461707,13184
99,111,100,101,0,0,0,0,0,0,0,0,0.011121086102841522,13184
113,117,101,114,121,0,0,0,0,0,0,0,0.01106360696488785,13184
99,114,101,97,116,101,100,0,0,0,0,0,0.011002841784503715,13184
108,111,99,97,116,101,100,0,0,0,0,0,0.010942582594818513,13184
115,101,115,115,105,111,110,0,0,0,0,0,0.01087842917251052,13184
114,111,108,108,98,97,99,107,111,110,116,105,0.010852984180381034,13184
114,101,116,117,114,110,0,0,0,0,0,0,0.010794674523926448,13184
116,104,114,101,115,104,111,108,100,0,0,0,0.010731794229440221,13184
101,120,99,101,101,100,101,100,0,0,0,0,0.010676220954501183,13184
115,121,115,111,102,102,108,105,110,101,0,0,0.010614995609441288,13184
115,111,114,114,121,0,0,0,0,0,0,0,0.01056448220745352,13184
99,111,110,110,101,99,116,105,118,105,116,121,0.010509817751823,13184
99,111,109,109,117,110,105,99,97,116,105,111,0.01046326874904146,13184
112,114,111,98,108,101,109,0,0,0,0,0,0.010411027009476655,13184
116,114,121,0,0,0,0,0,0,0,0,0,0.010378024244507579,13184
114,101,113,117,101,115,116,0,0,0,0,0,0.01032451898962743,13184
99,111,110,116,97,99,116,0,0,0,0,0,0.010274807336161061,13184
117,115,0,0,0,0,0,0,0,0,0,0,0.010252418890191324,13184
115,117,112,112,108,105,101,114,0,0,0,0,0.010199015263417037,13184
99,111,109,109,117,110,105,99,97,116,105,111,0.010159012316897852,13184
112,114,111,98,108,101,109,0,0,0,0,0,0.010111570765952111,13184
114,101,113,117,101,115,116,0,0,0,0,0,0.010062501196424127,13184
99,97,110,0,0,0,0,0,0,0,0,0,0.01003683768514277,13184
112,114,111,99,101,115,115,101,100,0,0,0,0.009989220062031925,13184
116,114,121,0,0,0,0,0,0,0,0,0,0.009959850334109309,13184
114,101,113,117,101,115,116,0,0,0,0,0,0.009912986526946109,13184
99,97,110,0,0,0,0,0,0,0,0,0,0.009888324967812962,13184
112,114,111,99,101,115,115,101,100,0,0,0,0.009843094106551768,13184
118,101,114,105,102,121,0,0,0,0,0,0,0.009801222257960759,13184
105,110,102,111,114,109,97,116,105,111,110,0,0.009760192718512795,13184
99,111,114,114,101,99,116,0,0,0,0,0,0.009718397602000741,13184
116,114,121,0,0,0,0,0,0,0,0,0,0.00969120691206912,13184
116,114,97,118,101,108,110,111,119,99,111,109,0.009654341193528015,13184
115,101,114,118,105,99,101,0,0,0,0,0,0.009614229165194036,13184
114,101,113,117,101,115,116,0,0,0,0,0,0.009572630821479031,13184
97,117,116,104,101,110,116,105,99,97,116,105,0.009550395385294959,13184
102,97,105,108,117,114,101,0,0,0,0,0,0.009512740854209518,13184
